Event	ID	Name			Wwise Object Path	Notes
	55290242	stopBigDog_noDelay			\Default Work Unit\stopBigDog_noDelay	
	68125478	collisionTankTrap			\Default Work Unit\collisionTankTrap	
	555737691	UI_confirmMenu			\Default Work Unit\UI_confirmMenu	
	690362850	droneSpawn			\Default Work Unit\droneSpawn	
	718394488	playTitleMusic			\Default Work Unit\playTitleMusic	
	823393987	destroyDrone_explode			\Default Work Unit\destroyDrone_explode	
	1088977592	destroyDrone_spinout			\Default Work Unit\destroyDrone_spinout	
	1637104820	UI_tiltAlertLeft			\Default Work Unit\UI_tiltAlertLeft	
	1639539297	UI_obstacleAlert			\Default Work Unit\UI_obstacleAlert	
	2037222792	collisionBarbedWire			\Default Work Unit\collisionBarbedWire	
	2195046349	stopBigDog			\Default Work Unit\stopBigDog	
	2229533828	bagJostle			\Default Work Unit\bagJostle	
	2273201524	playTiltAlert			\Default Work Unit\playTiltAlert	
	2687191769	droneAttack			\Default Work Unit\droneAttack	
	3497004131	UI_selectMenu			\Default Work Unit\UI_selectMenu	
	3499504239	startBigDog			\Default Work Unit\startBigDog	
	3529644627	UI_tiltAlertRight			\Default Work Unit\UI_tiltAlertRight	
	3926176201	collisionLandmine			\Default Work Unit\collisionLandmine	
	3938763508	playDesertAmb			\Default Work Unit\playDesertAmb	

Switch Group	ID	Name			Wwise Object Path	Notes
	3733145084	DroneState			\Default Work Unit\DroneState	

Switch	ID	Name	Switch Group			Notes
	655265632	Alive	DroneState			
	2044049779	Dead	DroneState			

State Group	ID	Name			Wwise Object Path	Notes
	268529915	Engine			\Default Work Unit\Engine	

State	ID	Name	State Group			Notes
	748895195	None	Engine			
	2904797076	Stopped	Engine			
	3863236874	Running	Engine			

Custom State	ID	Name	State Group	Owner		Notes
	721019617	Stopped	Engine	\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_02		
	1033999320	Stopped	Engine	\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_01		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	
	2127427523	Tilt_Amount			\Default Work Unit\Tilt_Amount	
	3395678809	BigDog_Speed			\Default Work Unit\BigDog_Speed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	292766496	titleMusic_build_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_build_01_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusicSwitch\titleMusic_Build\titleMusic_build_01\titleMusic_build_02		8913024
	294594352	bigDog_collision_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_collision_02_1D83A932.wem		\Actor-Mixer Hierarchy\Default Work Unit\Obstacles\collisionTankTrap\bigDog_collision_02		73956
	296284240	bag_jostle_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bag_jostle_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\bag_jostle\bag_jostle_01		218044
	315504796	drone_attack_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_attack_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneAttack\droneAttackBlend\drone_attack_01		1291992
	325466044	ui_confirmMenu	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\ui_confirmMenu_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui_confirmMenu		52404
	351849787	titleMusic_intro_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_intro_01_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusicSwitch\titleMusic_Intro\titleMusic_intro_01\titleMusic_intro_01		2621568
	396661630	titleMusic_build_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_build_02_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusicSwitch\titleMusic_Gameplay_incl_build\titleMusic_build_02\titleMusic_build_02		8388736
	401428490	drone_attack_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_attack_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneAttack\droneAttackBlend\drone_attack_02		1291992
	418451387	drone_death_impact_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_impact_01_9C42A4F7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathImpact\drone_death_impact_01		122168
	440191633	drone_death_spinout_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_spinout_02_D9AA9D70.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathSpinout\drone_death_spinout_02		122980
	503454362	drone_engineBassLoop_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_engineBassLoop_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_engineBass\drone_engineBassLoop_03		617896
	553067003	drone_engineBassLoop_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_engineBassLoop_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_engineBass\drone_engineBassLoop_01		600652
	590495305	drone_death_spinout_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_spinout_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathSpinout\drone_death_spinout_01		377896
	630154995	drone_death_spinout_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_spinout_03_CF905402.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathSpinout\drone_death_spinout_03		123616
	648319351	desertAmb_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\desertAmb_01_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\desertAmb_01		1960964
	659618299	bigDog_engineStop_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_engineStop_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineStop_01		415952
	671378564	ui_tiltAlert_alarm_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\ui_tiltAlert_alarm_02_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\tiltAlertSwitch\ui_tiltAlertLeft_Loop\ui_tiltAlertLeft\ui_tiltAlert_alarm_02		297144
	710605057	bigDog_collision_04	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_collision_04_A7C955AF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Obstacles\collisionBarbedWire\bigDog_collision_04		90880
	787793566	bigDog_collision_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_collision_03_610B9DF3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Obstacles\collisionLandmine\bigDog_collision_03		137436
	788645924	bigDog_engineLoop_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_engineLoop_01_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_01		1142700
	793245281	drone_death_impact_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_impact_03_B910A721.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathImpact\drone_death_impact_03		130044
	806942504	ui_selectMenu	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\ui_selectMenu_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui_selectMenu		73872
	885259706	drone_engineBassLoop_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_engineBassLoop_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_engineBass\drone_engineBassLoop_02		611396
	942662466	bag_jostle_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bag_jostle_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\bag_jostle\bag_jostle_02		178956
	968748557	bigDog_death	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_death_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\bigDog_death		797112
	997516973	drone_attack_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_attack_03_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneAttack\droneAttackBlend\drone_attack_03		922068
	1019571783	titleMusic_intro_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_intro_02_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusicSwitch\titleMusic_Intro\titleMusic_intro_02\titleMusic_intro_02		2883712
	1030381458	drone_engineWhineLoop_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_engineWhineLoop_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_engineWhine\drone_engineWhineLoop_01		1317736

